county_fips,county_name,state,dma_code,dma_name
01001,Autauga,AL,698,MONTGOMERY
01003,Baldwin,AL,686,MOBILE-PENSACOLA
01005,Barbour,AL,522,"COLUMBUS, GA"
01007,Bibb,AL,630,BIRMINGHAM
01009,Blount,AL,630,BIRMINGHAM
01011,Bullock,AL,698,MONTGOMERY
01013,Butler,AL,698,MONTGOMERY
01015,Calhoun,AL,630,BIRMINGHAM
01017,Chambers,AL,522,"COLUMBUS, GA"
01019,Cherokee,AL,630,BIRMINGHAM
01021,Chilton,AL,630,BIRMINGHAM
01023,Choctaw,AL,711,MERIDIAN
01025,Clarke,AL,686,MOBILE-PENSACOLA
01027,Clay,AL,630,BIRMINGHAM
01029,Cleburne,AL,524,ATLANTA
01031,Coffee,AL,606,DOTHAN
01033,Colbert,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01035,Conecuh,AL,686,MOBILE-PENSACOLA
01037,Coosa,AL,630,BIRMINGHAM
01039,Covington,AL,698,MONTGOMERY
01041,Crenshaw,AL,698,MONTGOMERY
01043,Cullman,AL,630,BIRMINGHAM
01045,Dale,AL,606,DOTHAN
01047,Dallas,AL,698,MONTGOMERY
01049,De Kalb,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01051,Elmore,AL,698,MONTGOMERY
01053,Escambia,AL,686,MOBILE-PENSACOLA
01055,Etowah,AL,630,BIRMINGHAM
01057,Fayette,AL,630,BIRMINGHAM
01059,Franklin,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01061,Geneva,AL,606,DOTHAN
01063,Greene,AL,630,BIRMINGHAM
01065,Hale,AL,630,BIRMINGHAM
01067,Henry,AL,606,DOTHAN
01069,Houston,AL,606,DOTHAN
01071,Jackson,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01073,Jefferson,AL,630,BIRMINGHAM
01075,Lamar,AL,673,COLUMBUS-TUPELO-WEST POINT
01077,Lauderdale,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01079,Lawrence,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01081,Lee,AL,522,"COLUMBUS, GA"
01083,Limestone,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01085,Lowndes,AL,698,MONTGOMERY
01087,Macon,AL,698,MONTGOMERY
01089,Madison,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01091,Marengo,AL,698,MONTGOMERY
01093,Marion,AL,630,BIRMINGHAM
01095,Marshall,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01097,Mobile,AL,686,MOBILE-PENSACOLA
01099,Monroe,AL,686,MOBILE-PENSACOLA
01101,Montgomery,AL,698,MONTGOMERY
01103,Morgan,AL,691,HUNTSVILLE-DECATUR-FLORENCE
01105,Perry,AL,698,MONTGOMERY
01107,Pickens,AL,630,BIRMINGHAM
01109,Pike,AL,698,MONTGOMERY
01111,Randolph,AL,524,ATLANTA
01113,Russell,AL,522,"COLUMBUS, GA"
01115,Saint Clair,AL,630,BIRMINGHAM
01117,Shelby,AL,630,BIRMINGHAM
01119,Sumter,AL,711,MERIDIAN
01121,Talladega,AL,630,BIRMINGHAM
01123,Tallapoosa,AL,698,MONTGOMERY
01125,Tuscaloosa,AL,630,BIRMINGHAM
01127,Walker,AL,630,BIRMINGHAM
01129,Washington,AL,686,MOBILE-PENSACOLA
01131,Wilcox,AL,698,MONTGOMERY
01133,Winston,AL,630,BIRMINGHAM
02013,Aleutians East,AK,0,(NON-DMA COUNTIES)
02016,Aleutians West,AK,0,(NON-DMA COUNTIES)
02020,Anchorage,AK,743,ANCHORAGE
02050,Bethel,AK,0,(NON-DMA COUNTIES)
02060,Bristol Bay,AK,0,(NON-DMA COUNTIES)
02068,Denali,AK,0,(NON-DMA COUNTIES)
02070,Dillingham,AK,0,(NON-DMA COUNTIES)
02090,Fairbanks North Star,AK,745,FAIRBANKS
02100,Haines,AK,0,(NON-DMA COUNTIES)
02110,Juneau,AK,747,JUNEAU
02122,Kenai Peninsula,AK,743,ANCHORAGE
02130,Ketchikan Gateway,AK,0,(NON-DMA COUNTIES)
